innings,team,over,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,is_boundary,non_boundary_run,extra_type,wides,noballs,byes,legbyes,penalty,is_wicket,wicket_kind,player_out,fielder,phase
1,Gujarat Titans,1,1,B Sai Sudharsan,JC Archer,Shubman Gill,4,0,4,True,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,1,2.wides,B Sai Sudharsan,JC Archer,Shubman Gill,0,1,1,False,False,wides,1,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,1,2,B Sai Sudharsan,JC Archer,Shubman Gill,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,1,3.noballs,B Sai Sudharsan,JC Archer,Shubman Gill,1,1,2,False,False,noballs,0,1,0,0,0,False,,,,powerplay
1,Gujarat Titans,1,3.wides,Shubman Gill,JC Archer,B Sai Sudharsan,0,5,5,False,False,wides,5,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,1,3.wides,Shubman Gill,JC Archer,B Sai Sudharsan,0,1,1,False,False,wides,1,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,1,3.wides,Shubman Gill,JC Archer,B Sai Sudharsan,0,1,1,False,False,wides,1,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,1,3,Shubman Gill,JC Archer,B Sai Sudharsan,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,1,4,Shubman Gill,JC Archer,B Sai Sudharsan,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,1,5,B Sai Sudharsan,JC Archer,Shubman Gill,2,0,2,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,1,6,B Sai Sudharsan,JC Archer,Shubman Gill,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,2,1,B Sai Sudharsan,TU Deshpande,Shubman Gill,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,2,2,B Sai Sudharsan,TU Deshpande,Shubman Gill,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,2,3,Shubman Gill,TU Deshpande,B Sai Sudharsan,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,2,4.wides,B Sai Sudharsan,TU Deshpande,Shubman Gill,0,1,1,False,False,wides,1,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,2,4,B Sai Sudharsan,TU Deshpande,Shubman Gill,4,0,4,True,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,2,5,B Sai Sudharsan,TU Deshpande,Shubman Gill,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,2,6,B Sai Sudharsan,TU Deshpande,Shubman Gill,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,3,1,B Sai Sudharsan,Brijesh Sharma,Shubman Gill,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,3,2.wides,B Sai Sudharsan,Brijesh Sharma,Shubman Gill,0,1,1,False,False,wides,1,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,3,2,B Sai Sudharsan,Brijesh Sharma,Shubman Gill,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,3,3,B Sai Sudharsan,Brijesh Sharma,Shubman Gill,4,0,4,True,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,3,4,B Sai Sudharsan,Brijesh Sharma,Shubman Gill,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,3,5,B Sai Sudharsan,Brijesh Sharma,Shubman Gill,6,0,6,True,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,3,6,B Sai Sudharsan,Brijesh Sharma,Shubman Gill,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,4,1,Shubman Gill,TU Deshpande,B Sai Sudharsan,4,0,4,True,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,4,2,Shubman Gill,TU Deshpande,B Sai Sudharsan,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,4,3,B Sai Sudharsan,TU Deshpande,Shubman Gill,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,4,4,B Sai Sudharsan,TU Deshpande,Shubman Gill,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,4,5,B Sai Sudharsan,TU Deshpande,Shubman Gill,6,0,6,True,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,4,6,B Sai Sudharsan,TU Deshpande,Shubman Gill,4,0,4,True,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,5,1,Shubman Gill,JC Archer,B Sai Sudharsan,4,0,4,True,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,5,2,Shubman Gill,JC Archer,B Sai Sudharsan,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,5,3,Shubman Gill,JC Archer,B Sai Sudharsan,6,0,6,True,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,5,4,Shubman Gill,JC Archer,B Sai Sudharsan,0,0,0,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,5,5,Shubman Gill,JC Archer,B Sai Sudharsan,4,0,4,True,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,5,6,Shubman Gill,JC Archer,B Sai Sudharsan,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,6,1,Shubman Gill,Brijesh Sharma,B Sai Sudharsan,4,0,4,True,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,6,2,Shubman Gill,Brijesh Sharma,B Sai Sudharsan,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,6,3,B Sai Sudharsan,Brijesh Sharma,Shubman Gill,4,0,4,True,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,6,4,B Sai Sudharsan,Brijesh Sharma,Shubman Gill,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,6,5,Shubman Gill,Brijesh Sharma,B Sai Sudharsan,4,0,4,True,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,6,6,Shubman Gill,Brijesh Sharma,B Sai Sudharsan,1,0,1,False,False,,0,0,0,0,0,False,,,,powerplay
1,Gujarat Titans,7,1,Shubman Gill,Yash Raj Punja,B Sai Sudharsan,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Gujarat Titans,7,2,B Sai Sudharsan,Yash Raj Punja,Shubman Gill,0,1,1,False,False,byes,0,0,1,0,0,False,,,,middle
1,Gujarat Titans,7,3,Shubman Gill,Yash Raj Punja,B Sai Sudharsan,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Gujarat Titans,7,4,B Sai Sudharsan,Yash Raj Punja,Shubman Gill,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Gujarat Titans,7,5,Shubman Gill,Yash Raj Punja,B Sai Sudharsan,4,0,4,True,False,,0,0,0,0,0,False,,,,middle
1,Gujarat Titans,7,6.wides,Shubman Gill,Yash Raj Punja,B Sai Sudharsan,0,1,1,False,False,wides,1,0,0,0,0,False,,,,middle
1,Gujarat Titans,7,6,Shubman Gill,Yash Raj Punja,B Sai Sudharsan,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Gujarat Titans,8,1,Shubman Gill,RA Jadeja,B Sai Sudharsan,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
1,Gujarat Titans,8,2,Shubman Gill,RA Jadeja,B Sai Sudharsan,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Gujarat Titans,8,3,B Sai Sudharsan,RA Jadeja,Shubman Gill,2,0,2,False,False,,0,0,0,0,0,False,,,,middle
1,Gujarat Titans,8,4,B Sai Sudharsan,RA Jadeja,Shubman Gill,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Gujarat Titans,8,5,Shubman Gill,RA Jadeja,B Sai Sudharsan,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Gujarat Titans,8,6,B Sai Sudharsan,RA Jadeja,Shubman Gill,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Gujarat Titans,9,1,B Sai Sudharsan,Yash Raj Punja,Shubman Gill,4,0,4,True,False,,0,0,0,0,0,False,,,,middle
1,Gujarat Titans,9,2,B Sai Sudharsan,Yash Raj Punja,Shubman Gill,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Gujarat Titans,9,3,Shubman Gill,Yash Raj Punja,B Sai Sudharsan,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Gujarat Titans,9,4,B Sai Sudharsan,Yash Raj Punja,Shubman Gill,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Gujarat Titans,9,5,Shubman Gill,Yash Raj Punja,B Sai Sudharsan,2,0,2,False,False,,0,0,0,0,0,False,,,,middle
1,Gujarat Titans,9,6,Shubman Gill,Yash Raj Punja,B Sai Sudharsan,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Gujarat Titans,10,1,Shubman Gill,RA Jadeja,B Sai Sudharsan,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Gujarat Titans,10,2,B Sai Sudharsan,RA Jadeja,Shubman Gill,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Gujarat Titans,10,3,Shubman Gill,RA Jadeja,B Sai Sudharsan,2,0,2,False,False,,0,0,0,0,0,False,,,,middle
1,Gujarat Titans,10,4,Shubman Gill,RA Jadeja,B Sai Sudharsan,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Gujarat Titans,10,5,B Sai Sudharsan,RA Jadeja,Shubman Gill,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
1,Gujarat Titans,10,6,Shubman Gill,RA Jadeja,B Sai Sudharsan,0,0,0,False,False,,0,0,0,0,0,False,,,,middle
1,Gujarat Titans,11,1,B Sai Sudharsan,Yash Raj Punja,Shubman Gill,2,0,2,False,False,,0,0,0,0,0,False,,,,middle
1,Gujarat Titans,11,2,B Sai Sudharsan,Yash Raj Punja,Shubman Gill,1,0,1,False,False,,0,0,0,0,0,False,,,,middle
