innings,team,over,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,extra_type,wides,noballs,byes,legbyes,penalty,is_wicket,wicket_kind,player_out,fielder,phase
1,Rajasthan Royals,1,1,NV Ojha,BJ Hodge,RJ Quiney,6,0,6,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,1,2,NV Ojha,BJ Hodge,RJ Quiney,2,0,2,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,1,3,NV Ojha,BJ Hodge,RJ Quiney,6,0,6,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,1,4,NV Ojha,BJ Hodge,RJ Quiney,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,1,5,RJ Quiney,BJ Hodge,NV Ojha,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,1,6,NV Ojha,BJ Hodge,RJ Quiney,6,0,6,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,2,1,RJ Quiney,CK Langeveldt,NV Ojha,0,0,0,,0,0,0,0,0,True,caught,RJ Quiney,SS Shaikh,powerplay
1,Rajasthan Royals,2,2,SA Asnodkar,CK Langeveldt,NV Ojha,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,2,3,SA Asnodkar,CK Langeveldt,NV Ojha,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,2,4,SA Asnodkar,CK Langeveldt,NV Ojha,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,2,5,SA Asnodkar,CK Langeveldt,NV Ojha,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,2,6,SA Asnodkar,CK Langeveldt,NV Ojha,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,3,1,NV Ojha,AB Dinda,SA Asnodkar,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,3,2,NV Ojha,AB Dinda,SA Asnodkar,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,3,3,NV Ojha,AB Dinda,SA Asnodkar,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,3,4.wides,NV Ojha,AB Dinda,SA Asnodkar,0,1,1,wides,1,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,3,4,NV Ojha,AB Dinda,SA Asnodkar,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,3,5,SA Asnodkar,AB Dinda,NV Ojha,0,0,0,,0,0,0,0,0,True,run out,SA Asnodkar,AB Dinda,powerplay
1,Rajasthan Royals,3,6,NK Patel,AB Dinda,NV Ojha,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,4,1,NV Ojha,CK Langeveldt,NK Patel,0,0,0,,0,0,0,0,0,False,,,,powerplay
