match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
3,2010-03-13,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",4.0,0,33,0,8.25,7,0,0
7,2010-03-16,Royal Challengers Bangalore,M Chinnaswamy Stadium,3.0,0,20,1,6.67,5,0,0
12,2010-03-19,Deccan Chargers,Barabati Stadium,3.0,0,24,0,8.0,4,0,0
16,2010-03-21,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",4.0,0,27,1,6.75,6,0,0
19,2010-03-24,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",4.0,0,29,1,7.25,6,0,0
23,2010-03-27,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",4.0,0,35,1,8.75,3,1,0
27,2010-03-30,Mumbai Indians,Brabourne Stadium,3.0,0,32,1,10.67,7,1,0
31,2010-04-02,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",2.0,0,22,0,11.0,2,0,0
34,2010-04-04,Kolkata Knight Riders,Eden Gardens,2.0,0,26,0,13.0,1,0,0
38,2010-04-07,Rajasthan Royals,Sawai Mansingh Stadium,4.0,0,27,0,6.75,12,0,0
41,2010-04-09,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",4.0,0,24,3,6.0,9,0,0
44,2010-04-11,Delhi Daredevils,Feroz Shah Kotla,4.0,0,16,2,4.0,14,0,0
51,2010-04-16,Deccan Chargers,Himachal Pradesh Cricket Association Stadium,4.0,0,24,1,6.0,7,0,0
54,2010-04-18,Chennai Super Kings,Himachal Pradesh Cricket Association Stadium,4.0,0,28,1,7.0,11,0,0
