innings,team,over,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,extra_type,wides,noballs,byes,legbyes,penalty,is_wicket,wicket_kind,player_out,fielder,phase
1,Rajasthan Royals,1,1,JC Buttler,JJ Bumrah,YBK Jaiswal,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,1,2,JC Buttler,JJ Bumrah,YBK Jaiswal,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,1,3,JC Buttler,JJ Bumrah,YBK Jaiswal,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,1,4,JC Buttler,JJ Bumrah,YBK Jaiswal,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,1,5,JC Buttler,JJ Bumrah,YBK Jaiswal,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,1,6,JC Buttler,JJ Bumrah,YBK Jaiswal,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,2,1,YBK Jaiswal,DR Sams,JC Buttler,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,2,2,JC Buttler,DR Sams,YBK Jaiswal,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,2,3,JC Buttler,DR Sams,YBK Jaiswal,6,0,6,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,2,4,JC Buttler,DR Sams,YBK Jaiswal,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,2,5,JC Buttler,DR Sams,YBK Jaiswal,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,2,6,JC Buttler,DR Sams,YBK Jaiswal,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,3,1,JC Buttler,JJ Bumrah,YBK Jaiswal,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,3,2,JC Buttler,JJ Bumrah,YBK Jaiswal,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,3,3,JC Buttler,JJ Bumrah,YBK Jaiswal,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,3,4,YBK Jaiswal,JJ Bumrah,JC Buttler,0,0,0,,0,0,0,0,0,True,caught,YBK Jaiswal,TH David,powerplay
1,Rajasthan Royals,3,5,D Padikkal,JJ Bumrah,JC Buttler,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,3,6,D Padikkal,JJ Bumrah,JC Buttler,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,4,1,JC Buttler,Basil Thampi,D Padikkal,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,4,2,JC Buttler,Basil Thampi,D Padikkal,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,4,3,JC Buttler,Basil Thampi,D Padikkal,6,0,6,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,4,4,JC Buttler,Basil Thampi,D Padikkal,6,0,6,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,4,5,JC Buttler,Basil Thampi,D Padikkal,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,4,6,JC Buttler,Basil Thampi,D Padikkal,6,0,6,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,5,1,D Padikkal,M Ashwin,JC Buttler,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,5,2,D Padikkal,M Ashwin,JC Buttler,2,0,2,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,5,3,D Padikkal,M Ashwin,JC Buttler,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,5,4,JC Buttler,M Ashwin,D Padikkal,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,5,5,JC Buttler,M Ashwin,D Padikkal,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,5,6,D Padikkal,M Ashwin,JC Buttler,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,6,1,JC Buttler,TS Mills,D Padikkal,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,6,2,JC Buttler,TS Mills,D Padikkal,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,6,3,JC Buttler,TS Mills,D Padikkal,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,6,4,JC Buttler,TS Mills,D Padikkal,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,6,5,JC Buttler,TS Mills,D Padikkal,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Rajasthan Royals,6,6,D Padikkal,TS Mills,JC Buttler,0,0,0,,0,0,0,0,0,True,caught,D Padikkal,RG Sharma,powerplay
1,Rajasthan Royals,7,1,JC Buttler,KA Pollard,SV Samson,1,0,1,,0,0,0,0,0,False,,,,middle
