innings,team,over,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,extra_type,wides,noballs,byes,legbyes,penalty,is_wicket,wicket_kind,player_out,fielder,phase
1,Delhi Capitals,1,1,PP Shaw,TA Boult,S Dhawan,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,1,2,PP Shaw,TA Boult,S Dhawan,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,1,3,PP Shaw,TA Boult,S Dhawan,0,0,0,,0,0,0,0,0,True,caught,PP Shaw,KH Pandya,powerplay
1,Delhi Capitals,1,4,AM Rahane,TA Boult,S Dhawan,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,1,5,AM Rahane,TA Boult,S Dhawan,2,0,2,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,1,6,AM Rahane,TA Boult,S Dhawan,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,2,1,AM Rahane,JL Pattinson,S Dhawan,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,2,2,AM Rahane,JL Pattinson,S Dhawan,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,2,3,AM Rahane,JL Pattinson,S Dhawan,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,2,4.wides,AM Rahane,JL Pattinson,S Dhawan,0,1,1,wides,1,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,2,4,AM Rahane,JL Pattinson,S Dhawan,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,2,5,AM Rahane,JL Pattinson,S Dhawan,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,2,6.wides,AM Rahane,JL Pattinson,S Dhawan,0,1,1,wides,1,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,2,6,AM Rahane,JL Pattinson,S Dhawan,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,3,1,S Dhawan,TA Boult,AM Rahane,1,0,1,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,3,2,AM Rahane,TA Boult,S Dhawan,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,3,3,AM Rahane,TA Boult,S Dhawan,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,3,4,AM Rahane,TA Boult,S Dhawan,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,3,5,AM Rahane,TA Boult,S Dhawan,4,0,4,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,3,6,AM Rahane,TA Boult,S Dhawan,0,0,0,,0,0,0,0,0,False,,,,powerplay
1,Delhi Capitals,4,1,S Dhawan,JJ Bumrah,AM Rahane,0,0,0,,0,0,0,0,0,False,,,,powerplay
